Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"CP2108_RESETn","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.D22","1460","410","3D","Property Not Present"
"VSC_TXD1_P","OffPage","6-MAC+PHY","6","SCHEMATIC1","U25B.R13","1610","1250","2A","2"
"VSC_TXD1_P","OffPage","2-SOC-BANKS","2","SCHEMATIC1","C153.2","100","2150","5A","6"
"CP2108_SUSPEND","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.D17","930","140","4D","Property Not Present"
"PG_1P8V","OffPage","1-POWER-SUPPLY","1","SCHEMATIC1","C113.1,R41.1,R75.1,R84.2,U11.4,U7.3","1810","2080","3A","1"
"PG_1P8V","OffPage","1-POWER-SUPPLY","1","SCHEMATIC1","C113.1,R41.1,R75.1,R84.2,U11.4,U7.3","1980","1230","2B","1"
"VSC_TXD1_N","OffPage","6-MAC+PHY","6","SCHEMATIC1","U25B.T13","1610","1270","2A","2"
"VSC_TXD1_N","OffPage","2-SOC-BANKS","2","SCHEMATIC1","C150.2","100","2140","5A","6"
"VSC_RXD1_P","OffPage","6-MAC+PHY","6","SCHEMATIC1","C474.1","1610","1370","2A","2"
"VSC_RXD1_P","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13F.K6","200","2180","5A","6"
"VSC_RXD1_N","OffPage","6-MAC+PHY","6","SCHEMATIC1","C475.1","1610","1390","2A","2"
"VSC_RXD1_N","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13F.K7","200","2170","5A","6"
"SD_CMD/EM_CMD","OffPage","5-EMMC_SDIO","5","SCHEMATIC1","SD_CMD1.1,U22.7","370","250","5D","2"
"SD_CMD/EM_CMD","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13E.K5","1860","300","3D","5"
"SD_DATA0/EM_DATA0","OffPage","5-EMMC_SDIO","5","SCHEMATIC1","SD_D4.1,U22.1","370","210","5D","2"
"SD_DATA0/EM_DATA0","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13E.H1","1860","310","3D","5"
"SD_DATA1/EM_DATA1","OffPage","5-EMMC_SDIO","5","SCHEMATIC1","SD_D3.1,U22.3","370","220","5D","2"
"SD_DATA1/EM_DATA1","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13E.J4","1860","320","3D","5"
"SD_DATA2/EM_DATA2","OffPage","5-EMMC_SDIO","5","SCHEMATIC1","SD_D1.1,U22.4","370","230","5D","2"
"SD_DATA2/EM_DATA2","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13E.K4","1860","330","3D","5"
"SD_DATA3/EM_DATA3","OffPage","5-EMMC_SDIO","5","SCHEMATIC1","SD_D2.1,U22.6","370","240","5D","2"
"SD_DATA3/EM_DATA3","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13E.J7","1860","340","3D","5"
"SD_CD/EM_STRB","OffPage","5-EMMC_SDIO","5","SCHEMATIC1","SD_CD#_EM_STB1.1,U23.9","390","650","5C","2"
"SD_CD/EM_STRB","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13E.K3","1860","350","3D","5"
"SD_WP/EM_RSTN","OffPage","5-EMMC_SDIO","5","SCHEMATIC1","SD_WP#_EM_RSTN1.1,U23.7","390","640","5C","2"
"SD_WP/EM_RSTN","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13E.H4","2150","290","2D","5"
